,ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return,AHV_5y,annu_return_5y,sharpe
65,DHI,"D.R. Horton, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,Average,81.3366,0.2046218235894776,28970551296.0,Large,1.63,11.41,0.106,5.326562,7.1285367,28.62672184299484,22.55,0.2173414508501475,0.3706273376002452,0.2388862575095893,0.63
98,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Increase,Below Fair Price,UnderValued,Sustainable,147.955,0.1344915909581223,41238310912.0,Large,1.23,0.14,2.7265,34.40814,1056.8214,2914266.1093746484,19.95,0.1687177819298659,0.3146188976889937,0.2098510411926961,0.711
199,TSLA,"Tesla, Inc.",Consumer Cyclical,Increase,Below Fair Price,OverValued,Average,806.05,0.6095863456987747,809483763712.0,Large,2.04,3.062,0.7295,92.01484,263.24298,15861.217597650582,28.54,0.2671807114934362,0.6111570848598533,0.7395891794773992,1.234
321,CHDN,"Churchill Downs, Incorporated",Consumer Cyclical,Increase,Below Fair Price,OverValued,No Data,214.51,0.285760266162862,8204814336.0,Small,1.2,5.574,2.099,23.59846,38.48403,803768.7853707895,999.0,0.1650710067608448,0.428761398858435,0.3577156937395942,0.867
326,CLAR,Clarus Corporation,Consumer Cyclical,Increase,Below Fair Price,UnderValued,No Data,21.41,0.1048097351865591,791904512.0,Small,0.85,0.554,0.3289999999999999,13.993464,38.646206,39.35780764759984,999.0,0.1225252964555984,0.3935336784177777,0.3066354215416988,0.903
437,FIVE,"Five Below, Inc.",Consumer Cyclical,Increase,Below Fair Price,OverValued,No Data,159.64,0.196711830322543,8943894528.0,Small,1.31,4.662,0.4612,27.242321,34.242813,688.9982460750497,999.0,0.1784425157139222,0.4529220827542307,0.3325260135908179,0.784
442,FLL,"Full House Resorts, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,8.75,0.1194950120908016,299490624.0,Small,1.82,0.331,0.15,19.444445,26.435045,4.374999947499999,999.0,0.2404376935872813,0.70434847103023,0.2963589567279125,0.731
452,FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,120.9,0.2057797663705516,5090373632.0,Small,1.74,3.731,0.15,23.613281,32.404182,60.450001521,999.0,0.2307129598032249,0.4626218084937539,0.3676780724759545,0.717
616,LULU,lululemon athletica inc.,Consumer Cyclical,Increase,Below Fair Price,UnderValued,Sustainable,304.58,0.1640122609511294,39381889024.0,Large,1.32,6.661,0.2789999999999999,32.927567,45.72587,396.4840787339497,16.06,0.1796581074369293,0.3928627132033152,0.3612961354404396,0.969
625,MBUU,"Malibu Boats, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,67.37,0.1426857744007874,1403970688.0,Small,1.73,5.497,0.15,8.715395,12.255775,33.6849975875,999.0,0.2294973680802179,0.4900828296139587,0.2773159838899566,0.617
629,MCRI,"Monarch Casino & Resort, Inc.",Consumer Cyclical,Increase,Above Fair Price,UnderValued,No Data,73.28,0.2122739601023464,1373003392.0,Small,1.68,3.315,0.14,16.654545,22.10558,33.870261540780426,999.0,0.2234194094651827,0.4662591193240339,0.2684726971574254,0.667
780,RICK,"RCI Hospitality Holdings, Inc.",Consumer Cyclical,Increase,Below Fair Price,UnderValued,No Data,63.27,0.2121914116166434,601059328.0,Small,1.97,3.369,0.4,12.70482,18.780054,185.79739043402,999.0,0.2586715694323869,0.6084727820266618,0.302701200796263,0.711
792,RUSHA,"Rush Enterprises, Inc.",Consumer Cyclical,Increase,Below Fair Price,UnderValued,No Data,49.34,0.1237736986366495,2712584960.0,Small,1.22,3.708,0.2866,11.803828,13.306365,67.74551090756457,999.0,0.1675021902068589,0.3521751954216464,0.1874167255840446,0.661
